FID,POINT_X,POINT_Y,POINT_Z
0,36785.35182,-444312.5106,320.6
1,37621.01292,-444897.233,368.9
2,37686.30618,-444829.4731,392.6
3,37796.7785,-444849.7029,385.4
4,40413.73436,-443089.8255,171.6
5,40450.41016,-443098.9,170.2
6,37806.41109,-442623.7461,359.6
7,37815.40344,-442638.8674,359.6
8,37113.35983,-444155.8311,90.2
9,37150.90735,-444225.0002,92
10,36934.15151,-444114.622,259.9
11,36944.14501,-444111.6218,261.9
12,21929.57884,-439748.2947,110.9
13,21953.32927,-439770.4211,104.7
14,21947.50382,-439778.9403,112.4
15,17246.54742,-444634.5693,243.5
16,16632.26186,-444374.5303,249.7
17,20647.57997,-440068.1166,120.7
18,20610.64556,-440130.8787,123.3
19,20689.05114,-440167.3005,171.1
20,21262.39261,-440112.8655,211.7
21,16512.03648,-440051.936,58.4
22,16526.81969,-440058.1942,57.7
23,13534.33084,-441704.8869,335.7
24,13692.68511,-441701.4978,333.1
25,13694.16327,-441662.6709,338.4
26,13688.00925,-441663.7898,342.1
27,35746.33191,-444112.3411,180
28,35732.50542,-444119.238,191.2
29,35713.82449,-444106.0031,192.1
30,35742.64204,-444113.4654,192.7
31,35794.11489,-444127.3059,196.7
32,13836.0734,-441771.5263,387.8
33,13892.07943,-441763.4879,476.7
34,13915.30262,-441753.8373,515.6
35,14057.91344,-441529.7208,527.6
36,14122.47452,-441483.7668,567.4
37,14121.05165,-441460.2894,574.5
38,14087.34974,-441460.5286,571.2
39,14093.18023,-441449.7962,568.7
40,14052.51422,-441425.8272,570.6
41,13970.946,-441422.2602,561.7
42,13963.75494,-441352.0174,552.6
43,13884.55589,-441289.2842,548.3
44,13823.79446,-441305.0952,539.5
45,13767.89526,-441281.3337,532.6
46,13753.31188,-441304.2818,533.6
47,13687.43544,-441296.805,537.8
48,13615.33657,-441246.2603,536.9
49,13530.89865,-441276.5267,534.9
50,13380.77389,-441121.6431,535.3
51,13281.07097,-441131.7784,536.3
52,13278.26634,-441108.8576,572.5
53,13208.73874,-441128.0054,570.7
54,14142.7536,-441652.7137,547.8
55,14169.44352,-441693.5288,572.6
56,14387.23245,-442083.6375,569.7
57,14331.03815,-442165.6307,520.1
58,14381.95271,-442148.7234,506.7
59,14530.23683,-441729.7285,604.5
60,23392.4849,-441870.8244,225.4
61,22306.65404,-442086.8237,262.6
62,20642.93736,-441884.0253,480
63,20875.66893,-441898.4485,466.6
64,14930.26971,-442122.662,631.1
65,14237.49812,-441713.3854,630.8
66,14228.85032,-441695.2813,628.9
67,14231.79881,-441710.2517,630.3
68,14501.90004,-441624.949,658.8
69,14947.59782,-442175.8774,592.9
70,39291.05844,-444025.7917,544.5
71,39880.26997,-443976.3544,440.4
72,39676.4366,-444074.3405,416.6
73,39472.95681,-443876.1482,437.5
74,36938.8715,-441986.1032,197.5
75,37060.82693,-442001.1178,197.5
76,36482.93567,-441857.8596,83.4
77,36584.03083,-441890.3464,93.4
78,14323.88042,-439578.7933,212.7
79,14265.82617,-439737.3328,256.8
80,14178.60895,-439941.215,229.9
81,14619.33195,-439603.8187,262.1
82,13401.85257,-441018.6326,477.9
83,13281.89311,-441065.0355,492.1
84,13254.21782,-441080.9771,503.3
85,13220.45361,-441140.9294,520
86,13198.00171,-441151.3165,541.3
87,37679.22486,-444865.3693,415.2
88,37629.99344,-444837.4799,420.8
89,37618.01621,-444844.7415,421.5
90,37589.18922,-444871.857,424.3
91,15572.61361,-442266.8573,544.1
92,15686.4563,-442154.0632,524.4
93,15622.03091,-442188.0112,530.8
94,15343.39205,-441884.3789,586.3
95,15351.23036,-441702.8141,499.6
96,15316.27754,-441692.3372,522.1
97,15465.10926,-441438.7907,455
98,15278.35289,-441478.1283,444.4
99,15232.26413,-441523.504,460.1
100,15270.68806,-441495.1505,462.2
101,15231.34627,-441526.6486,462
102,14911.64287,-441668.2619,538.4
103,14894.33231,-441715.0657,543.3
104,14794.73486,-441790.6652,577.6
105,14770.23914,-441410.41,525.6
106,14766.38836,-441408.3827,524.5
107,14766.23418,-441408.1982,524.7
108,14764.39341,-441411.714,525.9
109,14758.5543,-441416.9004,526.4
110,14752.39831,-441416.7259,526.7
111,14752.24424,-441416.5414,526.3
112,14749.16756,-441417.286,527.3
113,14798.07707,-441400.7492,517.6
114,14802.99385,-441396.1189,516.1
115,14803.30098,-441395.7487,515.6
116,14029.41165,-440261.8559,336.6
117,14270.85475,-440367.9574,275.1
118,13594.64635,-441003.545,378.7
119,14006.48156,-440740.5502,292.1
120,14011.38364,-440726.8611,304.3
121,13984.07477,-440777.9318,299.6
122,13890.01566,-440947.802,338.1
123,14282.82189,-441384.0414,490.4
124,21395.72272,-440774.9715,138.4
125,21399.75078,-440786.0545,157.5
126,21376.9251,-440828.0782,163.1
127,21308.00996,-440901.0894,183.9
128,21247.77707,-440937.8421,203.7
129,21183.50732,-441023.5976,218.2
130,20953.31184,-441416.2825,352.4
