OBJECTID,FID_,OBJECTID_1,OBJECTID_2,PATH,NAME,DATETIME,DIRECTION,GLOBALID,POINT_X,POINT_Y,POINT_Z,POINT_M,SOURCEDATA,F_AREA,ACRES,INSIDE_X,INSIDE_Y,cwd,fog,ppt,tmn,tmx
1,0,1,1,D:\Users\Wildlands\Desktop\QUTO\0F4A0087.jpg,0F4A0087.jpg,2015:05:21 13:32:53,65535,{23ED68C4-6E4A-4131-BCF0-44E060572B32},-119.601755,34.01602667,320.6,1, ,0,0,0,0,925.6199951,0.303663999,505.8800049,7.951000214,22.12929916
2,4,5,5,D:\Users\Wildlands\Desktop\QUTO\0F4A0894.jpg,0F4A0894.jpg,2015:05:22 07:08:38,65535,{4B1A8F1F-E9C1-4310-8858-E73BF933CAB9},-119.592735,34.01072333,368.9,1, ,0,0,0,0,921.1799927,0.352236986,539.6430054,8.33409977,22.69659996
3,10,11,11,D:\Users\Wildlands\Desktop\QUTO\0F4A0900.jpg,0F4A0900.jpg,2015:05:22 07:08:52,65535,{5B7B8FEF-8EFA-447D-9C51-1D6D821C9615},-119.592025,34.01133167,392.6,1, ,0,0,0,0,921.1799927,0.352236986,539.6430054,8.33409977,22.69659996
4,18,19,19,D:\Users\Wildlands\Desktop\QUTO\0F4A0915.jpg,0F4A0915.jpg,2015:05:22 07:11:55,65535,{7C30AEB1-C7EE-4A0F-87EF-A9EA2B8CBD19},-119.59083,34.011145,385.4,1, ,0,0,0,0,918.1530151,0.336796999,542.5029907,8.203900337,22.54039955
5,24,25,25,D:\Users\Wildlands\Desktop\QUTO\0F4A0933.jpg,0F4A0933.jpg,2015:05:05 08:43:07,65535,{71C90EEC-6AAE-40F7-881D-857862774108},-119.5624117,34.026905,171.6,1, ,0,0,0,0,933.9199829,0.234935001,419.0899963,7.796000004,21.84160042
6,33,34,34,D:\Users\Wildlands\Desktop\QUTO\0F4A0942.jpg,0F4A0942.jpg,2015:05:05 08:43:15,65535,{3C916242-00F2-4969-82CB-6413A8055C85},-119.562015,34.02682167,170.2,1, ,0,0,0,0,933.9199829,0.234935001,419.0899963,7.796000004,21.84160042
7,42,43,43,D:\Users\Wildlands\Desktop\QUTO\0F4A1113.jpg,0F4A1113.jpg,2015:05:22 10:26:27,65535,{5ECA6F33-98AB-459C-AB00-4FEF508F6321},-119.5906217,34.03121167,359.6,1, ,0,0,0,0,946.2230225,0.324436992,501.5929871,8.040100098,22.54710007
8,46,47,47,D:\Users\Wildlands\Desktop\QUTO\0F4A1118.jpg,0F4A1118.jpg,2015:05:22 10:26:32,65535,{59195F7E-1874-40D1-827D-9322A1CD6788},-119.590525,34.031075,359.6,1, ,0,0,0,0,946.2230225,0.324436992,501.5929871,8.040100098,22.54710007
9,53,54,54,D:\Users\Wildlands\Desktop\QUTO\0F4A1283-2.jpg,0F4A1283-2.jpg,2015:05:22 12:38:06,65535,{A0C1BBD0-B80F-4767-80CE-C6F41D45BD7E},-119.5981967,34.01742667,90.2,1, ,0,0,0,0,946.3499756,0.273826003,459.3869934,7.868000031,21.86300087
10,56,57,57,D:\Users\Wildlands\Desktop\QUTO\0F4A1291-2.jpg,0F4A1291-2.jpg,2015:05:22 12:38:10,65535,{16D131D9-0AE8-4B95-844D-B104306D3492},-119.5977933,34.01680167,92,1, ,0,0,0,0,930.1569824,0.263740003,491.7269897,7.856599808,21.94190025
11,61,62,62,D:\Users\Wildlands\Desktop\QUTO\0F4A1485.jpg,0F4A1485.jpg,2015:05:22 12:49:33,65535,{C37D9E5E-B206-49FF-B576-06BDC83A4B69},-119.600135,34.017805,259.9,1, ,0,0,0,0,937.5670166,0.235167995,483.4129944,7.923999786,22.03660011
12,69,70,70,D:\Users\Wildlands\Desktop\QUTO\0F4A1493.jpg,0F4A1493.jpg,2015:05:22 12:49:40,65535,{2A286C3E-37F7-45A1-A2DF-587AFCDCC9BD},-119.6000267,34.01783167,261.9,1, ,0,0,0,0,937.5670166,0.235167995,483.4129944,7.923999786,22.03660011
13,77,78,78,D:\Users\Wildlands\Desktop\QUTO\0F4A2377.jpg,0F4A2377.jpg,2015:05:23 06:50:09,65535,{7101C457-3348-4C11-9F67-D9590D286B2C},-119.7624667,34.05762167,110.9,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
14,79,80,80,D:\Users\Wildlands\Desktop\QUTO\0F4A2379.jpg,0F4A2379.jpg,2015:05:23 06:50:10,65535,{3F3F5BAB-8668-47C5-B1E2-30E799FCD72F},-119.76221,34.05742167,104.7,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
15,89,90,90,D:\Users\Wildlands\Desktop\QUTO\0F4A2389.jpg,0F4A2389.jpg,2015:05:23 06:50:28,65535,{8022D721-A56A-465A-95C3-0090869F10AA},-119.7622733,34.057345,112.4,1, ,0,0,0,0,-9999,-9999,-9999,-9999,-9999
16,94,95,95,D:\Users\Wildlands\Desktop\QUTO\0F4A2393.jpg,0F4A2393.jpg,2015:05:06 09:38:27,65535,{CA8DB669-CBED-4CE1-9DC1-06359E0DD5E3},-119.8132983,34.01366667,243.5,1, ,0,0,0,0,893.3800049,0.236634001,526.0430298,5.410200119,24.24900055
17,107,108,108,D:\Users\Wildlands\Desktop\QUTO\0F4A2402.jpg,0F4A2402.jpg,2015:05:06 09:39:58,65535,{343CCF55-7A73-49A2-BB84-E3F3D0D7E384},-119.8199433,34.01602167,249.7,1, ,0,0,0,0,890.0900269,0.173841,519.4799805,5.446000099,24.03569984
18,109,110,110,D:\Users\Wildlands\Desktop\QUTO\0F4A2501-2.jpg,0F4A2501-2.jpg,2015:05:23 07:13:24,65535,{944640B7-DF2A-40E1-BD81-07874837911A},-119.7763617,34.05476667,120.7,1, ,0,0,0,0,939.6069946,0.076538898,417.3970032,6.757999897,21.81189919
19,112,113,113,D:\Users\Wildlands\Desktop\QUTO\0F4A2504-2.jpg,0F4A2504-2.jpg,2015:05:23 07:13:26,65535,{F8023BB6-7710-4EBA-BD26-C936A04C80B6},-119.7767633,34.05420167,123.3,1, ,0,0,0,0,933.4000244,0.226034999,477.3169861,5.961599827,22.73259926
