OBJECTID,AREA,PERIMETER,ZN10OAKS_,ZN10OAKS_I,COMMENT,FEAT_NAME,DATAFILE,UNFILT_POS,GPS_HEIGHT,FILESOURCE,Max_PDOP,Corr_Type,Std_Dev,Horz_Prec,Vert_Prec,Uniq_ID,Uniq_ID_1,COMMENT_1,Age,DBH,Stems,Extra,POINT_X,POINT_Y,Species
1,0,0,1,1,QTY MANY,Point_generic,wtr83101.ssf,40,169.938,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,0,0,QTY MANY,young,0,0,Many,-120.0571565,33.98232102,quercus tomentella
2,0,0,2,2,QTA 12 TO 15IN DBH 10TREESMAYBE,Point_generic,wtr83101.ssf,53,169.926,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,1,1,QTA 12 TO 15IN DBH 10TREESMAYBE,adult,12,10, ,-120.0571544,33.98232097,quercus tomentella
3,0,0,4,4,QTA QTY 30 TO 50 STEMS,Point_generic,blk91301.ssf,14,347.079,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,3,3,QTA QTY 30 TO 50 STEMS,adult,0,30,1 young,-120.0845988,33.9749519,quercus tomentella
4,0,0,26,26,QTA QTY POSSIBLY 100 STEMS,Point_generic,blk91301.ssf,35,358.762,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,25,25,QTA QTY POSSIBLY 100 STEMS,young,0,100,1 adult,-120.0828136,33.97504703,quercus tomentella
5,0,0,30,30,QTA,Point_generic,blk91301.ssf,5,359.047,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,29,29,QTA,adult,0,0, ,-120.0827049,33.97504219,quercus tomentella
6,0,0,42,42,2 QTA,Point_generic,blk91301.ssf,11,354.703,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,41,41,2 QTA,adult,0,2, ,-120.0826534,33.97508379,quercus tomentella
7,0,0,47,47,QTB QTY,Point_generic,blk91301.ssf,11,351.949,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,46,46,QTB QTY,young,0,0, ,-120.082629,33.97512603,quercus tomentella
8,0,0,48,48,QTA QTY QTB MAYBE 30 STEMS,Point_generic,blk91301.ssf,26,354.574,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,47,47,QTA QTY QTB MAYBE 30 STEMS,adult,0,30,1 young,-120.0826035,33.97512092,quercus tomentella
9,0,0,66,66,QTA,Point_generic,blk91301.ssf,10,352.796,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,65,65,QTA,adult,0,0, ,-120.0819967,33.97520343,quercus tomentella
10,0,0,284,284,QTA,Point_generic,chy90301.ssf,15,230.802,C:\Temp\Laura K GPS Files\zone10\ZN10OAKS.shp,0, ,0,0,0,72,72,QTA,adult,0,0, ,-120.0718493,33.98122051,quercus tomentella
