Age,POINT_X,POINT_Y
seed,-120.0854736,33.97673988
seed,-120.0840397,33.97688619
seed,-120.0840695,33.97692296
seed,-120.083989,33.97684443
seed,-120.0839844,33.97682178
seed,-120.0838519,33.97676005
seed,-120.0837975,33.97676777
seed,-120.0837702,33.97677614
seed,-120.0837852,33.97679227
seed,-120.0837998,33.97679938
seed,-120.0837634,33.97679851
seed,-120.0837235,33.97679757
seed,-120.0836994,33.97674967
seed,-120.083694,33.97673151
seed,-120.0836749,33.97673557
seed,-120.0835893,33.97672678
seed,-120.0835898,33.97675158
seed,-120.083563,33.97676447
seed,-120.0835538,33.97677552
seed,-120.0835829,33.97679649
seed,-120.083476,33.97677818
seed,-120.0833838,33.97680304
seed,-120.0833976,33.97681463
seed,-120.0833791,33.97682321
seed,-120.0833815,33.97683228
seed,-120.083358,33.97680693
seed,-120.0833492,33.97678644
seed,-120.083326,33.97677237
seed,-120.0829875,33.97696266
seed,-120.0721406,33.98387833
seed,-120.0721049,33.98389325
seed,-120.0714737,33.98413514
seed,-120.0714234,33.98408436
seed,-120.0714202,33.9840595
seed,-120.0713854,33.98412628
seed,-120.0713863,33.98411954
seed,-120.071208,33.98401388
seed,-120.0711837,33.98393443
seed,-120.0711426,33.98406866
seed,-120.071165,33.98436217
seed,-120.0711882,33.98622647
seed,-120.0696763,33.98164715
seed,-120.0696526,33.98166687
seed,-120.0696358,33.98164394
seed,-120.0696363,33.98164846
seed,-120.0696747,33.98159528
seed,-120.0696666,33.98159284
seed,-120.0696258,33.98170004
seed,-120.0696412,33.98168463
seed,-120.0696242,33.9816662
seed,-120.0753526,33.98920118
seed,-120.0753789,33.98922434
seed,-120.0755302,33.98936767
seed,-120.075533,33.98938576
seed,-120.0809272,33.98210982
seed,-120.0806994,33.98202416
seed,-120.0807471,33.98203908
seed,-120.0800889,33.9817623
seed,-120.0799557,33.98032533
seed,-120.0799681,33.98025133
seed,-120.0798484,33.98013185
seed,-120.0797944,33.98014824
seed,-120.0798904,33.98005756
seed,-120.0800532,33.98016734
seed,-120.0800781,33.98016748
seed,-120.0811068,33.98126715
seed,-120.0811276,33.98129463
seed,-120.0814854,33.9819277
seed,-120.0815007,33.98193408
seed,-120.0723797,33.98684808
seed,-120.0725827,33.98702118
seed,-120.0718332,33.98752806
seed,-120.0718121,33.98754845
seed,-120.0696996,33.9815806
seed,-120.0697011,33.98163828
seed,-120.0696532,33.98167203
seed,-120.0696428,33.98166344
seed,-120.0696498,33.98168239
seed,-120.0756045,33.98200878
seed,-120.0755799,33.98198738
seed,-120.0755829,33.98197647
seed,-120.0755701,33.98200123
seed,-120.0756007,33.9819285
seed,-120.0754372,33.98195061
seed,-120.0753794,33.98229767
seed,-120.0783489,33.97915879
seed,-120.0786642,33.97925662
seed,-120.0786452,33.9792296
seed,-120.0893615,33.9781076
seed,-120.0890237,33.9788551
seed,-120.0882309,33.97789731
seed,-120.0778228,33.97939128
seed,-120.077859,33.97938784
seed,-120.077551,33.97971435
seed,-120.0774285,33.9799081
seed,-120.0774328,33.97989248
seed,-120.0854736,33.97673988
seed,-120.0840397,33.97688619
seed,-120.0840695,33.97692296
seed,-120.083989,33.97684443
seed,-120.0839844,33.97682178
