"Projections","Avg Test AUC","Highest Future Suitability","Mean Change in Suitability","Highest Gain","Highest Loss","Percent Suitable Area","Overall Percent Change of Suitable Area"
"MPI 4.5 2010-2039",0.7814,0.730122029781342,-0.132687126974095,0.115873992443085,-0.470401018857956,0.0372427311336165,-0.847184986595174
"MPI 4.5 2040-2069",0.7646,0.466066986322403,-0.202354085092073,0.00746899843215942,-0.735850021243095,0.000326690623979092,-0.998659517426273
"MPI 4.5 2070-2099",0.7722,0.287158995866776,-0.223196917040987,-0.00362342968583107,-0.814126022160053,0,-1
"CCSM4 8.5 2010-2039",0.7811,0.75120997428894,-0.124752889540958,0.132945001125336,-0.443749040365219,0.0441032342371774,-0.819034852546917
"CCSM4 8.5 2040-2069",0.7765,0.277144998311996,-0.231308391203706,-0.00707363011315465,-0.82768601924181,0,-1
"CCSM4 8.5 2070-2099",0.7794,0.165572002530098,-0.225386088163912,0.00542360171675682,-0.868495725095272,0,-1
"MIROC 4.5 2010-2039",0.7823,0.573189973831177,-0.195656939219134,-0.00629326980561018,-0.667931020259857,0.00359359686377001,-0.985254691689008
"MIROC 4.5 2040-2069",0.7854,0.0922029986977577,-0.247230520523426,-0.00615367013961077,-0.900853920727968,0,-1
"MIROC 4.5 2070-2099",0.7832,0.0408032014966011,-0.249471012212726,-0.00552322994917631,-0.927266916260123,0,-1
"MIROC 8.5 2010-2039",0.7677,0.51281201839447,-0.208459827244876,-0.00741478987038136,-0.708254024386406,0.000653381247958184,-0.997319034852547
"MIROC 8.5 2040-2069",0.7701,0.0358063988387585,-0.250686459234778,-0.00488608982414007,-0.927856216207147,0,-1
"MIROC 8.5 2070-2099",0.7786,0.0646077990531921,-0.246686809777797,-0.00395421031862497,-0.902240216732025,0,-1
