"Projections","Avg Test AUC","Highest Future Suitability","Mean Change in Suitability","Highest Gain","Highest Loss","Percent Suitable Area","Overall Percent Change of Suitable Area"
"MPI 4.5 2010-2039",0.7759,0.785771012306213,-0.0959748424894193,0.220990031957626,-0.356990993022919,0.0891865403462921,-0.625514403292181
"MPI 4.5 2040-2069",0.775,0.66484397649765,-0.147912774209529,0.292387992143631,-0.478814989328384,0.0509637373407383,-0.786008230452675
"MPI 4.5 2070-2099",0.7878,0.719832003116608,-0.14052316862142,0.395860999822617,-0.509666979312897,0.0774256778830448,-0.674897119341564
"CCSM4 8.5 2010-2039",0.7732,0.763984024524689,-0.0971365470958862,0.227275997400284,-0.354493975639343,0.0901666122182293,-0.621399176954732
"CCSM4 8.5 2040-2069",0.7742,0.285701006650925,-0.225460857273271,-0.00593787990510464,-0.822035022079945,0,-1
"CCSM4 8.5 2070-2099",0.7843,0.614232003688812,-0.161682862731695,0.268838971853256,-0.685413017868996,0.0378961123815746,-0.840877914951989
"MIROC 4.5 2010-2039",0.77,0.633150994777679,-0.181549312672278,-0.00570944976061583,-0.585575014352798,0.00914733747141457,-0.96159122085048
"MIROC 4.5 2040-2069",0.7759,0.175444006919861,-0.237167788452458,-0.00478649977594614,-0.840316921472549,0,-1
"MIROC 4.5 2070-2099",0.7852,0.145051002502441,-0.238835216702651,-0.00620615016669035,-0.883047696202993,0,-1
"MIROC 8.5 2010-2039",0.7856,0.58661299943924,-0.195618816216929,-0.00669432012364268,-0.622199028730392,0.00457366873570729,-0.98079561042524
"MIROC 8.5 2040-2069",0.7833,0.0907702967524529,-0.244152394586907,-0.00463944021612406,-0.903359223157167,0,-1
"MIROC 8.5 2070-2099",0.7768,0.134754002094269,-0.241918894473393,-0.00584133015945554,-0.840967997908592,0,-1
