"Projections","Avg Test AUC","Highest Future Suitability","Mean Change in Suitability","Highest Gain","Highest Loss","Percent Suitable Area","Overall Percent Change of Suitable Area"
"MPI 4.5 2010-2039",0.7691,0.55169802904129,-0.0927259813384444,0.2206140011549,-0.606516018509865,0.0199281280627246,-0.924691358024691
"MPI 4.5 2040-2069",0.7695,0.419640004634857,-0.197646804881239,0.0960900038480759,-0.735173009335995,0,-1
"MPI 4.5 2070-2099",0.7661,0.360891997814178,-0.221033760298476,0.0560240000486374,-0.732066012918949,0,-1
"CCSM4 8.5 2010-2039",0.7617,0.572571992874146,-0.0861031741076671,0.240728005766869,-0.630357012152672,0.0241751061744528,-0.908641975308642
"CCSM4 8.5 2040-2069",0.7696,0.206505998969078,-0.297252834785393,-0.00806049024686217,-0.783943511545658,0,-1
"CCSM4 8.5 2070-2099",0.7737,0.206619992852211,-0.262721419089354,0.043035700917244,-0.767895109951496,0,-1
"MIROC 4.5 2010-2039",0.7617,0.40056499838829,-0.258991759926858,-0.00672807032242417,-0.739711008965969,0,-1
"MIROC 4.5 2040-2069",0.7654,0.0411705002188683,-0.321725072243109,-0.00820311030838639,-0.830909711308777,0,-1
"MIROC 4.5 2070-2099",0.7769,0.0190859008580446,-0.324798733899137,-0.00888265628600493,-0.837038621306419,0,-1
"MIROC 8.5 2010-2039",0.7644,0.332892000675201,-0.277208646992374,-0.00696576037444174,-0.756107814610004,0,-1
"MIROC 8.5 2040-2069",0.7642,0.00948620960116386,-0.326453522587239,-0.00873661629157141,-0.84220502176322,0,-1
"MIROC 8.5 2070-2099",0.7638,0.0140437996014953,-0.326154195251235,-0.00903457531239837,-0.840255331713706,0,-1
