"Projections","Avg Test AUC","Highest Future Suitability","Mean Change in Suitability","Highest Gain","Highest Loss","Percent Suitable Area","Overall Percent Change of Suitable Area"
"MPI 4.5 2010-2039",0.8912,0.997400999069214,0.514647063394944,0.927582684904337,-0.283914029598236,0.908096280087527,2.60869565217391
"MPI 4.5 2040-2069",0.8919,0.998495995998383,0.569832323475603,0.946469388902187,-0.0339699983596802,0.902990517870168,2.58840579710145
"MPI 4.5 2070-2099",0.8961,0.9982830286026,0.58447440693801,0.949121521785855,-0.0255950093269348,0.912107950401167,2.62463768115942
"CCSM4 8.5 2010-2039",0.8932,0.997384011745453,0.542289657693453,0.93320769444108,-0.136081993579865,0.917578409919767,2.6463768115942
"CCSM4 8.5 2040-2069",0.8917,0.99329799413681,0.236157674468415,0.823123998939991,-0.185749009251595,0.523705324580598,1.08115942028986
"CCSM4 8.5 2070-2099",0.8913,0.998239994049072,0.592409219052181,0.982102519832551,-0.241334021091461,0.905908096280088,2.6
"MIROC 4.5 2010-2039",0.8945,0.995998978614807,0.268459310923653,0.836851373314857,-0.0617703013122082,0.635667396061269,1.52608695652174
"MIROC 4.5 2040-2069",0.8933,0.976354002952576,0.0909490270764734,0.891663581132889,-0.380705982446671,0.318380743982495,0.265217391304348
"MIROC 4.5 2070-2099",0.8962,0.937602996826172,0.0190771143424365,0.826753417029977,-0.555291302502155,0.242888402625821,-0.0347826086956522
"MIROC 8.5 2010-2039",0.8941,0.997170984745026,0.270567447455608,0.812523379921913,-0.116377010941505,0.587892049598833,1.33623188405797
"MIROC 8.5 2040-2069",0.8944,0.882974028587341,-0.0284477371254824,0.754927376285195,-0.70422800630331,0.161925601750547,-0.356521739130435
"MIROC 8.5 2070-2099",0.8933,0.513208985328674,-0.081107549371787,0.369448402896523,-0.808992780745029,0.0601750547045952,-0.760869565217391
