"Projections","Avg Test AUC","Highest Future Suitability","Mean Change in Suitability","Highest Gain","Highest Loss","Percent Suitable Area","Overall Percent Change of Suitable Area"
"MPI 4.5 2010-2039",0.8895,0.996280014514923,0.569162781334648,0.95256872754544,-0.373329013586044,0.911013858497447,2.77341389728097
"MPI 4.5 2040-2069",0.8907,0.998422026634216,0.617796389305858,0.960331696085632,-0.0569080114364624,0.916119620714807,2.79456193353474
"MPI 4.5 2070-2099",0.8907,0.998521983623505,0.650398158819463,0.962790685705841,-0.0148910284042358,0.925237053245806,2.83232628398792
"CCSM4 8.5 2010-2039",0.8915,0.996702015399933,0.611495021388251,0.966666716150939,-0.188954949378967,0.929978118161926,2.85196374622356
"CCSM4 8.5 2040-2069",0.8906,0.980325996875763,0.128820509707511,0.678204998373985,-0.35469101369381,0.393508388037929,0.629909365558912
"CCSM4 8.5 2070-2099",0.8898,0.998553991317749,0.635278074930085,0.986677694600075,-0.289117991924286,0.902261123267688,2.73716012084592
"MIROC 4.5 2010-2039",0.8898,0.972166001796722,0.136248120745937,0.733556017279625,-0.245500013232231,0.415754923413567,0.722054380664653
"MIROC 4.5 2040-2069",0.8898,0.772139012813568,-0.0522704015046179,0.53532001376152,-0.712113101035357,0.164478482859227,-0.318731117824773
"MIROC 4.5 2070-2099",0.8896,0.574675023555756,-0.0924331700882499,0.435091689229012,-0.747605198994279,0.0838803792851933,-0.652567975830816
"MIROC 8.5 2010-2039",0.8912,0.97775000333786,0.12173481434182,0.703031986951828,-0.308215014636517,0.404449307075128,0.675226586102719
"MIROC 8.5 2040-2069",0.8902,0.149076998233795,-0.131800315035842,0.0851522013545036,-0.850172186270356,0,-1
"MIROC 8.5 2070-2099",0.8887,0.0565585009753704,-0.13782170594791,0.0263902801088989,-0.873944950290024,0,-1
